Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
13-Oct-25,25815.8,25900.85,25781.15,25867.75,4.48E+08,29540.09
14-Oct-25,25922,25954.7,25694.2,25775.15,5.16E+08,33223.24
15-Oct-25,25817.7,26017.55,25809.95,25984.05,5.48E+08,36355.27
16-Oct-25,26055.15,26265.4,26034.75,26229.2,6.47E+08,42287.46
17-Oct-25,26196.6,26403.45,26167.9,26329.8,7.65E+08,47321.99
20-Oct-25,26445.8,26536.95,26400.55,26449.75,5.82E+08,38510.74
21-Oct-25,26521.6,26550,26431.8,26475.85,1.01E+08,5417.68
23-Oct-25,26654.2,26700,26459.2,26490.05,7.35E+08,52893.36
24-Oct-25,26533.45,26540.9,26327.95,26402.8,4.99E+08,32745.25
27-Oct-25,26457.8,26596.75,26435.55,26565,4.92E+08,32576.99
28-Oct-25,26551.4,26636.35,26400.3,26517.45,6.50E+08,48184.54
29-Oct-25,26566.3,26713.3,26551.05,26679.25,7.56E+08,46368.9
30-Oct-25,26630.2,26662.8,26481.55,26518.85,6.19E+08,37275.76
31-Oct-25,26512.5,26595.15,26357.55,26369.5,6.71E+08,42693.42
3-Nov-25,26358.55,26483.3,26321.4,26445.85,5.65E+08,35799.79
4-Nov-25,26430.55,26465.6,26267.05,26284.45,5.45E+08,40637.92
6-Nov-25,26288,26353.9,26137.1,26154.95,5.90E+08,48021.13
7-Nov-25,26075.95,26204.25,25935.15,26144.2,5.34E+08,46966.94
10-Nov-25,26162.95,26311.55,26162.95,26230.8,4.23E+08,34107.07
11-Nov-25,26269.65,26357.7,26088.9,26340,5.15E+08,38803.45
12-Nov-25,26475.05,26558,26427.7,26500,5.83E+08,42280.75
13-Nov-25,26532.7,26635.85,26437.2,26505.6,6.22E+08,40323.14
14-Nov-25,26408.6,26556.45,26371,26528,7.46E+08,41931.22
17-Nov-25,26574.9,26652.55,26538.1,26639.4,4.62E+08,32231.46
18-Nov-25,26654.2,26660.1,26486.25,26519,4.57E+08,34122.47
19-Nov-25,26528.3,26661.1,26459.1,26640.5,4.48E+08,32836.07
20-Nov-25,26724.8,26815.95,26652.75,26755.5,4.00E+08,32959.44
21-Nov-25,26677.4,26727.1,26578.75,26593.2,4.01E+08,33095.31
24-Nov-25,26640.6,26650.75,26415.5,26458.25,7.88E+08,64731.6
25-Nov-25,26493.65,26535.3,26380.45,26405.3,4.26E+08,33771.22
26-Nov-25,26377.65,26753.75,26377.65,26743.05,4.48E+08,39505.58
27-Nov-25,26800.95,26833.2,26670.25,26744.35,4.14E+08,32322.27
28-Nov-25,26763.25,26803.25,26701.4,26737.8,4.15E+08,29259.13
1-Dec-25,26859.4,26859.5,26663.6,26719.75,3.85E+08,29712.04
2-Dec-25,26638.15,26709.5,26554.15,26592.85,9.20E+08,39928.83
3-Dec-25,26572.9,26623.7,26418.15,26506.1,5.45E+08,34840.85
4-Dec-25,26505.4,26627.45,26471.4,26557,4.30E+08,34461.19
5-Dec-25,26527.7,26711.95,26509.4,26696.9,4.13E+08,35036.67
8-Dec-25,26673.6,26690.75,26346.4,26415.55,5.22E+08,40017.58
9-Dec-25,26320.9,26408.6,26162.55,26337.35,5.08E+08,39738.63
10-Dec-25,26362.95,26462.6,26238.05,26259.25,3.93E+08,30740.58
11-Dec-25,26275.25,26425.15,26188.75,26402.45,3.98E+08,28195.97
12-Dec-25,26477.25,26576.8,26447.7,26565.1,4.32E+08,29673.32
15-Dec-25,26460.2,26570.85,26415.75,26555.35,3.83E+08,26293.61
16-Dec-25,26489.25,26509.3,26365.5,26394.5,4.50E+08,32219.82
17-Dec-25,26435.85,26472.3,26291.65,26342.65,4.03E+08,28848.8
18-Dec-25,26295.45,26410.9,26222.45,26324.65,3.55E+08,28058.45
19-Dec-25,26414.2,26500.3,26391.4,26488,5.80E+08,47285.9
22-Dec-25,26579.4,26701.75,26565.3,26693.2,4.32E+08,34995.06
23-Dec-25,26734.05,26766.6,26650.25,26713.15,4.15E+08,28423.57
24-Dec-25,26713.75,26773.25,26653.05,26674.5,3.51E+08,24871.87
26-Dec-25,26658.5,26692.15,26551.7,26589.35,4.30E+08,21061.14
29-Dec-25,26612.35,26641.9,26460.05,26483.45,4.99E+08,28545.97
30-Dec-25,26479.85,26522.4,26411.5,26482.55,6.73E+08,53869.04
31-Dec-25,26520.8,26744.4,26519.1,26689.3,4.59E+08,29195.88
1-Jan-26,26736.55,26764.25,26674.1,26723.25,6.42E+08,30765.95
2-Jan-26,26739.85,26936,26723.25,26925.3,6.14E+08,34673.37
5-Jan-26,26936.65,26975.15,26806.25,26858.15,5.50E+08,35182.75
6-Jan-26,26813.55,26892.6,26742.15,26808.75,5.86E+08,43851.28
