Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
12-Jan-26,25669.05,25813.15,25473.4,25790.25,275757268,23874.45
13-Jan-26,25897.35,25899.8,25603.3,25732.3,339536336,31434.03
14-Jan-26,25648.55,25791.75,25603.95,25665.6,393126596,28944.88
16-Jan-26,25696.05,25873.5,25662.4,25694.35,434041776,37156.05
19-Jan-26,25653.1,25653.3,25494.35,25585.5,443087953,33632.38
20-Jan-26,25580.3,25585,25171.35,25232.5,409772324,31020.36
21-Jan-26,25141,25300.95,24919.8,25157.5,395624981,30984.61
22-Jan-26,25344.15,25435.75,25168.5,25289.9,486395433,34583.24
23-Jan-26,25344.6,25347.95,25025.3,25048.65,393944908,31844.65
27-Jan-26,25063.35,25246.65,24932.55,25175.4,618696080,50989.25
28-Jan-26,25258.85,25372.1,25187.65,25342.75,574903942,42364.52
29-Jan-26,25345,25458.15,25159.8,25418.9,582389331,44306.95
30-Jan-26,25247.55,25370.7,25213.65,25320.65,508388604,40772.08
1-Feb-26,25333.75,25440.9,24571.75,24825.45,379370206,25572.6
2-Feb-26,24796.5,25108.1,24679.4,25088.4,449215604,34038.26
3-Feb-26,26308.05,26341.2,25641.3,25727.55,637263148,52338.39
4-Feb-26,25675.05,25818.55,25563.95,25776,429788986,36899.12
5-Feb-26,25755.9,25757.65,25579.5,25642.8,343812628,28582.32
6-Feb-26,25605.8,25703.95,25491.9,25693.7,375476124,29777.45
9-Feb-26,25888.7,25922.25,25780.9,25867.3,359386006,28449.55
10-Feb-26,25922.65,25989.45,25870.45,25935.15,460878237,32795.1
11-Feb-26,25997.45,26009.4,25899.8,25953.85,331389240,31456.05
12-Feb-26,25906.7,25906.7,25752.4,25807.2,419388014,38977.68
13-Feb-26,25571.15,25630.35,25444.3,25471.1,453523192,40137.15
16-Feb-26,25423.6,25697,25372.7,25682.75,325487729,22205.92
17-Feb-26,25637.95,25764.4,25570.3,25725.4,378436265,27818.81
18-Feb-26,25752.65,25828.05,25645.15,25819.35,400807585,22228.22
19-Feb-26,25873.35,25885.3,25388.75,25454.35,333658812,24756.87
20-Feb-26,25406.55,25663.55,25379.75,25571.25,309373691,24024.7
23-Feb-26,25678.4,25771.45,25609.35,25713,399135843,25494.64
24-Feb-26,25641.8,25641.8,25327.6,25424.65,439068188,36735.38
25-Feb-26,25512.6,25652.6,25428.2,25482.5,414215742,31084.17
26-Feb-26,25556.3,25572.95,25400.95,25496.55,405219244,33155.5
27-Feb-26,25459.85,25476.4,25141.3,25178.65,438924282,38634.68
2-Mar-26,24659.25,24989.35,24603.5,24865.7,519228821,41306.37
4-Mar-26,24388.8,24602.45,24305.4,24480.5,598993881,47700.19
5-Mar-26,24615.95,24854.2,24529.4,24765.9,504339053,40011.88
6-Mar-26,24656.4,24700.8,24415.75,24450.45,433408256,35453.32
9-Mar-26,23868.05,24078.15,23697.8,24028.05,526901605,40569.31
10-Mar-26,24280.8,24303.8,24079.95,24261.6,444283436,36657.53
11-Mar-26,24231.85,24299,23834.3,23866.85,407400643,32549.4
12-Mar-26,23674.85,23833.15,23556.3,23639.15,501004098,40147.62
13-Mar-26,23462.5,23492.4,23112,23151.1,519776752,40786.7
16-Mar-26,23116.1,23502,22955.25,23408.8,540293230,44710.21
17-Mar-26,23493.2,23656.8,23346.6,23581.15,458788167,34495.73
18-Mar-26,23632.9,23862.25,23618.45,23777.8,382876401,28805.6
19-Mar-26,23197.75,23378.7,22930.35,23002.15,550147401,42000.27
20-Mar-26,23110.15,23345.15,23067.6,23114.5,663289390,50308.33
23-Mar-26,22824.35,22851.7,22471.25,22512.65,550275334,41002.59
24-Mar-26,22878.45,23057.3,22624.2,22912.4,538098322,43385.04
25-Mar-26,23064.4,23465.35,23063.2,23306.45,505418973,40733.98
27-Mar-26,23173.55,23186.1,22804.55,22819.6,612556883,47239.2
30-Mar-26,22549.65,22714.1,22283.85,22331.4,698599891,53093.7
1-Apr-26,22899,22941.3,22618.6,22679.4,517954448,41192.2
2-Apr-26,22383.4,22782.3,22182.55,22713.1,495121035,38669.56
6-Apr-26,22780.3,22998.35,22542.95,22968.25,426416812,35893.16
7-Apr-26,22838.7,23153.85,22719.3,23123.65,476981883,38940.47
8-Apr-26,23855.15,24025.15,23828.5,23997.35,639257993,56557.11
9-Apr-26,23909.05,23990.75,23682.8,23775.1,466587329,40443.59
10-Apr-26,23880.55,24074.05,23856.35,24050.6,481302436,40109.22
